Product name,description,Price,image,Category
Men's Tailored Shorts,"These tailored shorts are crafted from high-quality fabric for a comfortable fit. Ideal for both casual and semi-formal occasions, they feature a classic design with a single button closure and belt loops",$35.00,https://drive.google.com/file/d/17Oz7jDca0k-fU-xAuC_0gKADoLlfR2Qa/view?usp=drive_link,Mens/Bottoms
Men's Polo Shirt,"A classic men's polo shirt made from breathable cotton, perfect for everyday wear. This shirt features a three-button placket and a comfortable fit, making it a versatile addition to any wardrobe",$25.00,https://drive.google.com/file/d/1RNh1_2JgFlTTLxUPZOmTeZtxorrCTxKi/view?usp=drive_link,Mens/tops
Men's Drawstring Shorts,"Comfortable and stylish, these drawstring shorts are perfect for casual outings. Made from lightweight fabric, they offer a relaxed fit and feature an adjustable waistband for added comfort",$30.00,https://drive.google.com/file/d/1R68bIK9yzVvnlCFnGzCgImI4iG-vrv-8/view?usp=drive_link,Mens/Bottoms
Men's Crew Neck T-Shirt,"A staple for any wardrobe, this men's crew neck t-shirt is made from soft, high-quality cotton. It offers a classic fit and is available in multiple colors to suit any style",$20.00,https://drive.google.com/file/d/1KP1Uaac_pSMhIws_ppBtgY6b_DXg9CQ_/view?usp=drive_link,Mens/Tops
Men's Button-Up Shirt (Dark Grey),"This versatile button-up shirt is perfect for both casual and formal settings. Made from premium cotton, it features a chest pocket and buttoned cuffs for a polished look",$40.00,https://drive.google.com/file/d/1lVPbex7-R1wWkssAcTgagfW_zjASHypr/view?usp=drive_link,Mens/Tops
Men's Button-Up Shirt (Beige),"A stylish beige button-up shirt suitable for various occasions. Crafted from soft, durable fabric, it offers a comfortable fit and features a classic collar and front pocket.",$40.00,https://drive.google.com/file/d/1aLZoX0AJoUY_59YTKiIZqQs3bfqfUbU0/view?usp=drive_link,Mens/Tops
Men's Performance T-Shirt,"Designed for active lifestyles, this performance t-shirt is made from moisture-wicking fabric to keep you cool and dry. It offers a comfortable fit and is perfect for workouts or casual wear.",$25.00,https://drive.google.com/file/d/1IBSbQQL01QGMnrHETkX_bVdtSRMhWjB_/view?usp=drive_link,Mens/Tops
Men's Drawstring Shorts with Patch,"These men's drawstring shorts feature a unique patch design and are made from comfortable fabric. They offer a relaxed fit and an adjustable waistband, perfect for casual wear",$28.00,https://drive.google.com/file/d/1UUPCcVMoaGiHOMEEW9seR-y9vGYba2wI/view?usp=drive_link,Mens/Bottoms
Men's Light Wash Jeans,"hese light wash jeans offer a modern look with a slim fit. Made from durable denim, they are perfect for both casual and semi-formal occasions.",$45.00,https://drive.google.com/file/d/1VD2dkvW_DtLAbZEPW9O1FPzqfCUjgfAU/view?usp=sharing,Mens/Bottoms
Men's Dark Blue Jeans,A pair of dark blue jeans with a classic fit. These jeans are versatile and can be paired with a variety of outfits for different occasions.,$45.00,https://drive.google.com/file/d/1AkUM5lHaH6Y037AVd3sRMGaFz0_sACbR/view?usp=drive_link,Mens/Bottoms
Men's Chino Pants (Camel),"These camel-colored chino pants are made from high-quality fabric, offering comfort and style. They are ideal for both casual and business casual settings.",$40.00,https://drive.google.com/file/d/1rIMO-VR5Hhuol0smT-wJfH-oJFldJPzg/view?usp=drive_link,Mens/Bottoms
Men's Jogger Pants (Blue),These blue jogger pants are perfect for a relaxed and sporty look. They feature an elastic waistband and cuffs for a comfortable fit.,$30.00,https://drive.google.com/file/d/1tkpcDK-kwnFurGmFIZsGX3ccWsZQ1KuG/view?usp=drive_link,Mens/Bottoms
Men's White Polo Shirt,A classic white polo shirt made from breathable cotton. This shirt is perfect for everyday wear and can be dressed up or down.,$25.00,https://drive.google.com/file/d/1hTAQD_7LS5l7a46_6yeGE-o5vNr1iibN/view?usp=drive_link,Mens/Tops
,,,,
,,,,
,,,,
Women's Tailored Shorts (Cream),These tailored shorts in cream are perfect for a polished summer look. Made from high-quality fabric,$20.00,https://drive.google.com/file/d/1xZGaTQ_KRWqEzg_JcjBk1uKgyFIEC_Fo/view?usp=drive_link,Womens/Bottoms
Women's Wrap Skirt,A chic and versatile wrap skirt in black,$23.00,https://drive.google.com/file/d/1Fm3pI1T_tmGkkmw8DJvGDoZbApMAkBKt/view?usp=drive_link,Womens/Bottoms
Women's High-Waisted Trousers,These high-waisted trousers in brown are designed for both comfort and style. Featuring large front pockets and a tailored fit,$30.00,https://drive.google.com/file/d/1XXTdv03KuZ4HhKvL9v0Pqw12fF1fJ9ao/view?usp=sharing,Womens/Bottoms
Women's Wide-Leg Pants (Green),Make a statement with these vibrant green wide-leg pants. Designed for a relaxed fit,$32.00,https://drive.google.com/file/d/1hovuVqxs774OkPEdgYdPbC8bQ6LgQgkO/view?usp=sharing,Womens/Bottoms
Women's Floral Print Pants,These floral print pants offer a fun and stylish look. The black and white floral design adds a touch of elegance,$30.00,https://drive.google.com/file/d/1sB7UxzMaIavR_lToWDjxGfz3FOka8p4T/view?usp=drive_link,Womens/Bottoms
Women's Navy Flared Trousers,A pair of classic navy flared trousers that provide a sophisticated look. These trousers are perfect for professional settings or evening events,$25.00,https://drive.google.com/file/d/1OadBxcoFVwMSizQh3AMb4jvNg7K4pJSR/view?usp=drive_link,Womens/Bottoms
Women's Sleeveless Top (Olive),This olive sleeveless top is perfect for warm weather. It features a V-neck with tie detail at the back and a peplum hem,$35.00,https://drive.google.com/file/d/1ZioDDNvpC-M9mw8YnTSmMPnN0VSdQska/view?usp=drive_link,Womens/Tops
Women's White Button-Up Shirt,A classic white button-up shirt,$35.00,https://drive.google.com/file/d/160zVwisz4YZv3EgD1a6p3pzy8ALdO1vQ/view?usp=drive_link,Womens/Tops
Women's Short-Sleeve Blouse,This elegant short-sleeve blouse in a soft beige hue is ideal for warm weather. It features a traditional collar and button-down front,$20.00,https://drive.google.com/file/d/1WGAvsHpfaY4K2KqnNpEc9joKGcu3pzq-/view?usp=drive_link,Womens/Tops
Women's Floral Print Tank Top,A stylish floral print tank top,$23.00,https://drive.google.com/file/d/1yCdfUSjsixlEe2B5VUjqAosvd35V_ysv/view?usp=drive_link,Womens/Tops
Women's Printed Blouse,This printed blouse features a unique black and brown pattern. With its relaxed fit and half sleeves,$25.00,https://drive.google.com/file/d/1tw1UQpQFRWxmTaORAsCvvo_O1e8YCeZv/view?usp=drive_link,Womens/Tops
Women's Green Tank Top,A vibrant green tank top,$20.00,womens-linen-scoop-neck-tank-grass-green.jpeg,Womens/Tops